City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Grand Gaube,MU,2021-01-19 02:14:17,-20.0064,57.6608,79.0,88,96,1.99
163,Bluff,NZ,2021-01-19 02:14:17,-46.6,168.3333,60.01,58,44,15.01
164,Asau,RO,2021-01-19 02:14:18,46.4333,26.4,7.0,63,5,5.88
165,Praia Da Vitoria,PT,2021-01-19 02:14:18,38.7333,-27.0667,62.6,88,75,24.02
166,Muros,ES,2021-01-19 02:14:18,42.7762,-9.0603,44.01,96,2,14.83
167,Leningradskiy,RU,2021-01-19 02:14:18,69.3833,178.4167,-22.34,84,100,12.84
168,Nanortalik,GL,2021-01-19 02:14:18,60.1432,-45.2371,27.75,84,100,6.13
169,Poum,NC,2021-01-19 02:14:18,-20.2333,164.0167,83.3,76,99,9.15
170,Qarqin,AF,2021-01-19 02:14:18,37.4185,66.0436,53.46,61,1,21.7
171,Namatanai,PG,2021-01-19 02:14:18,-3.6667,152.4333,84.94,68,60,8.61
172,Livingston,GB,2021-01-19 02:14:18,55.9029,-3.5226,39.2,93,90,3.44
173,Victoria,HK,2021-01-19 02:13:04,22.2855,114.1577,62.01,58,0,1.99
174,Bafq,IR,2021-01-19 02:14:18,31.6128,55.4107,47.97,44,0,1.99
175,Aanekoski,FI,2021-01-19 02:14:19,62.6946,25.818,24.8,93,90,4.61
176,Maiduguri,NG,2021-01-19 02:14:19,11.8464,13.1603,62.56,46,0,8.59
177,Kudat,MY,2021-01-19 02:14:19,6.8837,116.8477,77.0,94,40,3.44
178,Koltsovo,RU,2021-01-19 02:14:19,54.9376,83.1825,-5.8,77,0,8.95
179,Eirunepe,BR,2021-01-19 02:14:19,-6.6603,-69.8736,74.16,96,100,0.47
180,Alta Floresta,BR,2021-01-19 02:14:19,-9.8756,-56.0861,72.72,95,100,3.0
181,Mtsamboro,YT,2021-01-19 02:14:19,-12.6998,45.0689,82.4,78,20,5.75
182,Aklavik,CA,2021-01-19 02:12:55,68.2191,-135.0107,1.4,84,40,8.05
183,Tazovskiy,RU,2021-01-19 02:14:19,67.4667,78.7,-16.85,89,93,6.2
184,Vari,GR,2021-01-19 02:14:20,37.8312,23.8081,39.99,86,20,3.44
185,Bani,DO,2021-01-19 02:12:45,18.2833,-70.3333,78.01,81,100,3.0
186,Okha,RU,2021-01-19 02:14:20,53.5739,142.9478,-18.53,80,17,18.43
187,Katsuura,JP,2021-01-19 02:14:20,35.1333,140.3,46.4,36,20,21.85
188,Jinan,CN,2021-01-19 02:14:20,36.6683,116.9972,35.01,50,0,0.45
189,Nome,US,2021-01-19 02:14:20,64.5011,-165.4064,10.0,85,90,5.75
190,Ewa Beach,US,2021-01-19 02:13:12,21.3156,-158.0072,71.6,73,40,11.5
191,Clyde River,CA,2021-01-19 02:14:20,70.4692,-68.5914,-4.0,92,90,4.61
192,Kavaratti,IN,2021-01-19 02:14:20,10.5669,72.642,81.37,68,0,5.46
193,Pemangkat,ID,2021-01-19 02:14:20,1.1667,108.9667,80.33,80,100,9.89
194,Moree,AU,2021-01-19 02:14:21,-29.4667,149.85,84.2,42,0,4.61
195,Cidreira,BR,2021-01-19 02:12:21,-30.1811,-50.2056,69.58,75,8,7.76
196,Husavik,IS,2021-01-19 02:14:21,66.0449,-17.3389,30.2,93,90,21.85
197,Carnarvon,AU,2021-01-19 02:12:16,-24.8667,113.6333,86.0,84,5,13.8
198,Anadyr,RU,2021-01-19 02:14:21,64.75,177.4833,-22.0,76,20,6.71
199,Saint-Gilles,FR,2021-01-19 02:14:21,43.6766,4.4302,32.0,74,0,4.61
200,Borba,BR,2021-01-19 02:14:21,-4.3878,-59.5939,74.88,97,100,3.18
201,Bonfim,BR,2021-01-19 02:12:32,3.0833,-59.95,78.75,67,100,7.31
202,Palmer,US,2021-01-19 02:14:22,42.1584,-72.3287,32.0,59,20,8.05
203,Zhangye,CN,2021-01-19 02:14:22,38.9342,100.4517,17.62,70,0,1.74
204,Shingu,JP,2021-01-19 02:14:22,33.7333,135.9833,44.6,49,40,20.71
205,Avarua,CK,2021-01-19 02:12:15,-21.2078,-159.775,82.4,74,95,9.22
206,Santo Amaro Da Imperatriz,BR,2021-01-19 02:14:22,-27.6881,-48.7786,77.0,68,0,11.5
207,Charters Towers,AU,2021-01-19 02:14:22,-20.1,146.2667,81.68,65,100,8.63
208,Pangnirtung,CA,2021-01-19 02:14:22,66.1451,-65.7125,17.19,85,100,8.95
209,Mishan,CN,2021-01-19 02:14:22,45.55,131.8833,-9.58,83,0,13.35
210,Placerville,US,2021-01-19 02:14:22,38.7296,-120.7986,64.4,14,1,19.57
211,Kodinsk,RU,2021-01-19 02:14:22,58.6881,99.1844,6.78,94,100,5.93
212,Greenwood,US,2021-01-19 02:14:23,34.1668,-82.1165,42.8,49,1,5.75
213,Susuman,RU,2021-01-19 02:14:23,62.7833,148.1667,-22.34,82,100,4.25
214,Naze,JP,2021-01-19 02:14:23,28.3667,129.4833,60.8,55,75,12.66
215,Birao,CF,2021-01-19 02:14:23,10.2849,22.7882,66.97,25,60,7.9
216,Virden,US,2021-01-19 02:11:50,39.5009,-89.7679,35.01,93,100,5.01
217,Springfield,US,2021-01-19 02:14:23,37.2153,-93.2982,44.01,60,1,11.18
218,Tezu,IN,2021-01-19 02:14:23,27.9167,96.1667,63.07,69,78,2.46
219,Marawi,PH,2021-01-19 02:14:23,7.9986,124.2928,79.0,86,96,5.99
220,Acajutla,SV,2021-01-19 02:11:24,13.5928,-89.8275,79.56,65,3,2.95
221,Avera,US,2021-01-19 02:14:24,33.194,-82.5271,39.99,65,1,6.6
222,Tanabe,JP,2021-01-19 02:14:24,33.7333,135.3667,44.6,49,40,20.71
223,Saskylakh,RU,2021-01-19 02:14:24,71.9167,114.0833,-40.49,80,98,3.47
224,Tandil,AR,2021-01-19 02:10:14,-37.3217,-59.1332,66.94,39,0,4.92
225,Pangkalanbuun,ID,2021-01-19 02:14:19,-2.6833,111.6167,83.88,68,100,2.68
226,Alvand,IR,2021-01-19 02:14:06,36.3187,49.1678,29.75,95,1,16.22
227,Ende,ID,2021-01-19 02:14:24,-8.8432,121.6623,83.7,68,100,4.5
228,Piacabucu,BR,2021-01-19 02:14:24,-10.4056,-36.4344,76.84,81,0,10.45
229,Faya,SA,2021-01-19 02:14:24,18.3851,42.4509,51.8,66,0,1.52
230,Ballarat,AU,2021-01-19 02:14:24,-37.5662,143.8496,64.99,49,0,7.0
231,Tres Arroyos,AR,2021-01-19 02:14:25,-38.3739,-60.2798,64.56,54,0,5.17
232,Vila Franca Do Campo,PT,2021-01-19 02:14:25,37.7167,-25.4333,61.0,82,75,18.41
233,Esperance,AU,2021-01-19 02:14:25,-33.8667,121.9,75.2,46,0,17.27
234,Gannan,CN,2021-01-19 02:14:25,47.9147,123.5031,-7.06,77,93,9.86
235,Viedma,AR,2021-01-19 02:10:32,-40.8135,-62.9967,70.74,38,0,8.12
236,Iroquois Falls,CA,2021-01-19 02:14:25,48.7669,-80.6831,6.8,78,90,4.61
237,Kysyl-Syr,RU,2021-01-19 02:14:25,63.8986,122.7617,-52.65,76,54,6.08
238,Heihe,CN,2021-01-19 02:14:25,50.2441,127.4902,-14.8,48,0,4.47
239,Ukiah,US,2021-01-19 02:14:25,39.1502,-123.2078,60.8,36,1,3.44
240,Aksarka,RU,2021-01-19 02:14:26,66.5606,67.7975,-20.24,85,99,4.41
241,Tateyama,JP,2021-01-19 02:13:03,34.9833,139.8667,50.0,40,20,8.05
242,Moranbah,AU,2021-01-19 02:14:26,-22.0016,148.0466,88.2,46,21,14.14
243,Airai,TL,2021-01-19 02:14:26,-8.9266,125.4092,65.25,100,100,1.72
244,Gold Coast,AU,2021-01-19 02:14:26,-28.0,153.4333,88.0,65,100,11.5
245,Saint George,US,2021-01-19 02:13:52,37.1041,-113.5841,51.8,25,1,17.27
246,Patnagarh,IN,2021-01-19 02:14:26,20.7167,83.15,61.81,64,0,3.27
247,Lakhdenpokhya,RU,2021-01-19 02:14:26,61.5198,30.1992,18.03,98,99,6.35
248,Shiyan,CN,2021-01-19 02:14:26,32.6475,110.7781,42.76,62,0,3.87
249,College,US,2021-01-19 02:12:38,64.8569,-147.8028,39.2,68,75,7.29
250,Bilma,NE,2021-01-19 02:14:27,18.6853,12.9164,57.36,34,0,11.18
251,Egvekinot,RU,2021-01-19 02:14:27,66.3167,-179.1667,-18.0,86,100,9.13
252,Villacarrillo,ES,2021-01-19 02:14:27,38.1156,-3.0848,37.0,79,0,2.08
253,Bathsheba,BB,2021-01-19 02:14:27,13.2167,-59.5167,78.8,78,20,18.41
254,Inuvik,CA,2021-01-19 02:14:27,68.3499,-133.7218,1.4,85,40,6.91
255,Codrington,AU,2021-01-19 02:14:27,-38.2667,141.9667,61.18,56,0,16.04
256,Eskil,TR,2021-01-19 02:14:27,38.4017,33.4131,24.78,87,42,5.53
257,Tadine,NC,2021-01-19 02:14:27,-21.55,167.8833,82.63,77,93,3.24
258,Geraldton,AU,2021-01-19 02:14:28,-28.7667,114.6,86.0,51,75,3.44
259,Zwedru,LR,2021-01-19 02:14:28,6.0667,-8.1281,71.47,95,1,2.35
260,Rabo De Peixe,PT,2021-01-19 02:14:28,37.8,-25.5833,61.0,82,75,18.41
261,Tsiroanomandidy,MG,2021-01-19 02:14:28,-18.7667,46.0333,68.34,92,100,4.16
262,Horadiz,AZ,2021-01-19 02:14:28,39.4488,47.3353,39.2,93,40,13.8
263,Wright,US,2021-01-19 02:14:28,45.1833,-93.9502,21.2,86,80,5.75
264,Los Llanos De Aridane,ES,2021-01-19 02:14:28,28.6585,-17.9182,62.6,67,90,5.75
265,Tiarei,PF,2021-01-19 02:14:28,-17.5333,-149.3333,87.8,51,20,5.75
266,Cockburn Town,TC,2021-01-19 02:14:28,21.4612,-71.1419,77.0,73,75,9.22
267,Sakakah,SA,2021-01-19 02:14:29,29.9697,40.2064,46.4,49,0,6.91
268,Port Lincoln,AU,2021-01-19 02:14:29,-34.7333,135.8667,66.65,60,17,13.02
269,Jalalabad,AF,2021-01-19 02:14:29,34.4265,70.4515,47.34,49,0,1.7
270,Yamada,JP,2021-01-19 02:14:29,39.4667,141.95,29.35,82,8,23.69
271,Qingdao,CN,2021-01-19 02:10:13,36.0986,120.3719,37.99,69,20,4.47
272,Joshimath,IN,2021-01-19 02:14:29,30.5667,79.5667,40.19,44,0,5.53
273,Calama,CL,2021-01-19 02:14:07,-22.4667,-68.9333,59.0,18,0,9.22
274,Arlit,NE,2021-01-19 02:14:29,18.7369,7.3853,58.91,30,0,5.75
275,Havelock,US,2021-01-19 02:13:02,34.8791,-76.9013,39.0,75,1,5.75
276,Zhigansk,RU,2021-01-19 02:12:08,66.7697,123.3711,-50.91,76,53,7.25
277,Westport,US,2021-01-19 02:14:30,41.1415,-73.3579,37.4,52,1,10.36
278,Pacific Grove,US,2021-01-19 02:09:34,36.6177,-121.9166,61.0,47,1,4.61
279,Havoysund,NO,2021-01-19 02:14:30,70.9963,24.6622,30.2,64,75,8.05
280,Taltal,CL,2021-01-19 02:14:30,-25.4,-70.4833,67.24,68,0,5.1
281,San Carlos De Bariloche,AR,2021-01-19 02:14:30,-41.1456,-71.3082,64.4,52,0,8.05
282,Paamiut,GL,2021-01-19 02:14:30,61.994,-49.6678,28.06,87,100,7.14
283,Kargasok,RU,2021-01-19 02:14:30,59.0556,80.8572,-13.97,88,100,8.63
284,Chibuto,MZ,2021-01-19 02:14:30,-24.6867,33.5306,72.9,83,100,8.55
285,Sao Filipe,CV,2021-01-19 02:12:21,14.8961,-24.4956,73.9,66,100,7.7
286,Lorengau,PG,2021-01-19 02:14:31,-2.0226,147.2712,84.54,75,45,11.1
287,Menongue,AO,2021-01-19 02:12:59,-14.6585,17.691,63.25,92,100,4.21
288,Ishigaki,JP,2021-01-19 02:14:31,24.3448,124.1572,64.4,63,75,17.27
289,Pianco,BR,2021-01-19 02:14:31,-7.1981,-37.9292,78.35,67,98,7.58
290,Sain Alto,MX,2021-01-19 02:14:31,23.5833,-103.25,57.15,34,76,9.28
291,Arraial Do Cabo,BR,2021-01-19 02:11:43,-22.9661,-42.0278,75.79,84,0,20.47
292,Totness,SR,2021-01-19 02:14:31,5.8833,-56.3167,77.81,82,100,12.06
293,Lazaro Cardenas,MX,2021-01-19 02:14:31,17.9583,-102.2,75.72,81,99,4.12
294,Veraval,IN,2021-01-19 02:14:31,20.9,70.3667,68.25,35,0,10.58
