City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
194,Butaritari,KI,80.94,light rain,3.0707,172.7902,Isles Sunset Lodge
195,Maragogi,BR,76.82,moderate rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
199,Myanaung,MM,74.25,clear sky,18.2833,95.3167,Taung Hlay Khar
200,Galle,LK,79.32,few clouds,6.0367,80.217,Amangalla
208,Labuhan,ID,82.58,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
214,Dingle,PH,85.41,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
218,Port Macquarie,AU,78.01,clear sky,-31.4333,152.9167,Rydges Port Macquarie
223,Bathsheba,BB,77.0,few clouds,13.2167,-59.5167,Atlantis Hotel
227,Portmore,JM,80.6,few clouds,17.9702,-76.8672,Salmon Way Inn
228,Tautira,PF,87.8,broken clouds,-17.7333,-149.15,Pension Oaoa
230,Bima,ID,86.27,overcast clouds,-8.4667,118.7167,Lambitu Hotel
233,Flinders,AU,81.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
236,Sao Jose Da Coroa Grande,BR,76.98,light rain,-8.8978,-35.1478,Crôa Mares Hotel
238,Pontes E Lacerda,BR,72.32,light rain,-15.2261,-59.3353,Hotel Bressan
241,Labuan,MY,78.8,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
246,Santa Isabel Do Rio Negro,BR,73.71,overcast clouds,-0.4139,-65.0192,Hotel GSA
251,Muisne,EC,75.92,light rain,0.6,-80.0333,Quinta Samay
253,Rawson,AR,74.68,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
254,Saint-Pierre,RE,84.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
255,Kilindoni,TZ,81.66,overcast clouds,-7.9139,39.6668,Bustani B&B
267,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
268,Dhidhdhoo,MV,81.59,clear sky,6.8833,73.1,Dhidhoo beach
273,Ambunti,PG,85.06,moderate rain,-4.2365,142.8448,Ambunti Lodge
274,Ewa Beach,US,80.6,clear sky,21.3156,-158.0072,Base Lodging
276,Jizan,SA,73.4,few clouds,17.3333,42.6667,شهدان. ابوالحجر
277,Hoi An,VN,73.4,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
279,Sao Filipe,CV,72.54,overcast clouds,14.8961,-24.4956,Tortuga B&B
282,Sao Joao Da Barra,BR,75.65,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
289,Kankon,IN,75.2,mist,15.0167,74.0167,Palolem Beach Resort
292,Riosucio,CO,73.4,scattered clouds,5.4216,-75.7032,Finca cafetera La Ermita
293,Cayenne,GF,73.4,mist,4.9333,-52.3333,Hôtel Le Dronmi
300,Fare,PF,81.61,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
301,Labrea,BR,72.82,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
302,Gushikawa,JP,73.4,broken clouds,26.3544,127.8686,Kirari Guest House
303,Oistins,BB,77.0,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
305,Tubuala,PA,77.0,few clouds,9.5167,-79.0333,Río Nabagana
307,Comodoro Rivadavia,AR,78.8,clear sky,-45.8667,-67.5,Austral Hotel
313,Sinnamary,GF,75.79,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
314,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
318,Catuday,PH,82.06,scattered clouds,16.2923,119.8062,GResort
319,Bonthe,SL,76.1,few clouds,7.5264,-12.505,Bonthe Holiday Village
322,Hambantota,LK,82.4,few clouds,6.1241,81.1185,Bungalow 63
325,Ailigandi,PA,79.27,light rain,9.2333,-78.0167,Akwa Reef Lodge
326,Simoes,BR,73.33,overcast clouds,-7.5989,-40.8178,Hotel Ponto Certo
329,Bahia Blanca,AR,85.93,clear sky,-38.7196,-62.2724,Hotel Argos
333,Bambous Virieux,MU,82.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
335,Victoria,HK,72.0,broken clouds,22.2855,114.1577,Mini Hotel Central
339,Meulaboh,ID,83.55,broken clouds,4.1363,96.1285,Kost Pria
343,Canavieiras,BR,72.57,few clouds,-15.675,-38.9472,Bahiadomizil
346,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
349,Acarau,BR,78.84,overcast clouds,-2.8856,-40.12,castelo pizzaria
356,Balsas,BR,72.18,overcast clouds,-7.5325,-46.0356,Novo Hotel
359,Maunabo,PR,73.0,overcast clouds,18.0072,-65.8993,Maunacaribe
361,Takoradi,GH,78.1,scattered clouds,4.8845,-1.7554,Raybow International Hotel
362,Moranbah,AU,84.13,overcast clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
364,Nosy Varika,MG,78.91,overcast clouds,-20.5833,48.5333,Hotel Volazara
367,Gizo,SB,85.96,overcast clouds,-8.103,156.8419,Imagination Island
369,Charlestown,AU,84.99,few clouds,-32.95,151.6667,Panorama Motor Inn Hotel
370,Mineros,BO,73.4,broken clouds,-17.1167,-63.2333,Residencial Imperial
