City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Alzamay,RU,55.5562,98.6644,-17.93,84,3,2.3,clear sky
139,San Rafael,AR,-34.6177,-68.3301,79.61,19,0,9.8,clear sky
140,Nanortalik,GL,60.1432,-45.2371,24.8,89,100,8.9,overcast clouds
141,Caravelas,BR,-17.7125,-39.2481,73.98,83,0,3.6,clear sky
142,Sungaipenuh,ID,-2.0833,101.3833,77.81,48,100,1.74,overcast clouds
143,Barrow,US,71.2906,-156.7887,-11.2,77,90,8.05,overcast clouds
144,Krasnoselkup,RU,65.7,82.4667,-38.15,81,0,4.74,clear sky
145,Teahupoo,PF,-17.8333,-149.2667,87.8,58,75,10.36,broken clouds
146,Kaseda,JP,31.4167,130.3167,59.0,67,40,9.22,scattered clouds
147,Saldanha,ZA,-33.0117,17.9442,59.0,82,0,5.75,clear sky
148,Yulara,AU,-25.2406,130.9889,100.4,8,45,10.36,scattered clouds
149,Broome,US,42.2506,-75.833,19.99,79,90,3.44,overcast clouds
150,Araioses,BR,-2.89,-41.9031,74.55,89,100,5.73,overcast clouds
151,Port Augusta,AU,-32.5,137.7667,99.0,30,0,10.36,clear sky
152,Babahoyo,EC,-1.8167,-79.5167,78.8,83,90,3.56,moderate rain
153,Cidreira,BR,-30.1811,-50.2056,72.7,80,100,14.0,overcast clouds
154,Selizharovo,RU,56.8519,33.4487,10.8,95,100,8.72,snow
155,Yambio,SS,4.5721,28.3955,64.74,28,85,4.25,overcast clouds
156,Kizema,RU,61.113,44.8302,-6.43,91,100,4.05,overcast clouds
157,Ostrovnoy,RU,68.0531,39.5131,13.05,92,100,13.8,light snow
158,Methoni,GR,36.8197,21.7049,51.01,93,100,2.3,overcast clouds
159,Hovd,MN,48.0056,91.6419,13.33,83,92,0.65,snow
160,Mukhen,RU,48.1,136.1,4.32,89,100,12.46,overcast clouds
161,Itarema,BR,-2.9248,-39.9167,77.34,86,100,7.16,overcast clouds
162,Usinsk,RU,65.9939,57.5281,-4.9,92,100,5.35,overcast clouds
163,Hasaki,JP,35.7333,140.8333,54.0,53,20,3.44,few clouds
164,Pevek,RU,69.7008,170.3133,-28.91,83,42,0.51,scattered clouds
165,Sofiyivka,UA,48.0493,33.8746,17.6,79,90,11.18,overcast clouds
166,Port Hardy,CA,50.6996,-127.4199,41.0,100,75,5.75,broken clouds
167,Plettenberg Bay,ZA,-34.0527,23.3716,64.8,84,0,1.72,clear sky
168,Tamandare,BR,-8.7597,-35.1047,76.86,84,100,8.61,light rain
169,Korla,CN,41.7597,86.1469,23.49,81,61,1.25,broken clouds
170,Igra,RU,57.5558,53.0547,-1.75,92,96,5.75,overcast clouds
171,Souillac,MU,-20.5167,57.5167,80.6,83,75,6.91,broken clouds
172,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,90,8.05,overcast clouds
173,Kahului,US,20.8947,-156.47,75.2,69,40,17.27,scattered clouds
174,Barguzin,RU,53.6167,109.6167,-2.34,83,66,5.53,broken clouds
175,Chokurdakh,RU,70.6333,147.9167,-32.46,84,100,8.9,overcast clouds
176,Kavieng,PG,-2.5744,150.7967,83.55,65,25,10.98,scattered clouds
177,Fairbanks,US,64.8378,-147.7164,19.0,85,75,3.44,broken clouds
178,Severo-Kurilsk,RU,50.6789,156.125,18.93,92,90,25.68,light snow
179,Atambua,ID,-9.1061,124.8925,83.53,71,65,7.05,broken clouds
180,Hit,IQ,33.6416,42.8251,41.38,58,0,19.28,clear sky
181,Badou,TG,7.5833,0.6,71.94,58,1,1.16,clear sky
182,Dikson,RU,73.5069,80.5464,-4.04,92,100,7.0,overcast clouds
183,Codrington,AU,-38.2667,141.9667,76.19,43,0,11.7,clear sky
184,Lanxi,CN,29.2195,119.477,63.68,67,0,1.01,clear sky
185,Itapolis,BR,-21.5956,-48.8128,74.26,75,99,8.08,overcast clouds
186,Chute-Aux-Outardes,CA,49.1168,-68.399,3.2,66,1,4.61,clear sky
187,Homer,US,59.6425,-151.5483,36.0,93,1,3.42,clear sky
188,Plainview,US,40.7765,-73.4673,28.99,40,1,13.8,clear sky
189,North Bend,US,43.4065,-124.2243,46.99,87,1,4.61,clear sky
190,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,98,6.91,overcast clouds
191,Seminole,US,28.7086,-81.2081,57.99,47,1,6.91,clear sky
192,Linhai,CN,28.85,121.1167,64.99,46,98,1.12,light rain
193,Nikolayevka,RU,53.1257,47.2041,-2.36,91,65,7.02,broken clouds
194,Butaritari,KI,3.0707,172.7902,80.94,79,8,17.11,light rain
195,Maragogi,BR,-9.0122,-35.2225,76.82,80,100,9.06,moderate rain
196,Tuatapere,NZ,-46.1333,167.6833,52.0,87,87,21.99,overcast clouds
197,Sobolevo,RU,54.4299,31.8996,13.55,96,100,14.83,snow
198,Bereda,ES,43.2686,-7.5406,50.0,99,100,8.99,overcast clouds
199,Myanaung,MM,18.2833,95.3167,74.25,53,0,1.66,clear sky
200,Galle,LK,6.0367,80.217,79.32,79,12,7.52,few clouds
201,Nola,IT,40.922,14.5329,52.0,77,94,5.03,overcast clouds
202,Qaanaaq,GL,77.484,-69.3632,29.17,91,100,15.01,overcast clouds
203,Erenhot,CN,43.6475,111.9767,13.95,90,34,6.04,scattered clouds
204,Odweyne,SO,9.4092,45.064,65.26,51,2,1.59,clear sky
205,Aykhal,RU,66.0,111.5,-52.85,71,66,2.48,broken clouds
206,Atar,MR,20.5169,-13.0499,63.1,24,100,14.92,overcast clouds
207,Sola,VU,-13.8833,167.55,89.6,70,75,5.75,light rain
208,Labuhan,ID,-6.8844,112.2051,82.58,77,100,9.55,moderate rain
209,Chuy,UY,-33.6971,-53.4616,65.7,84,0,5.5,clear sky
210,Vardo,NO,70.3705,31.1107,22.28,88,100,17.69,light snow
211,Laurel,US,39.0993,-76.8483,28.99,80,1,6.53,clear sky
212,Yaan,NG,7.3833,8.5667,68.88,25,9,3.38,clear sky
213,Mildura,AU,-34.2,142.15,95.0,6,0,6.91,clear sky
214,Dingle,PH,10.9995,122.6711,85.41,71,47,4.23,scattered clouds
215,Chinsali,ZM,-10.5414,32.0816,63.12,98,100,0.96,light rain
216,Sinegorye,RU,62.0788,150.477,-21.35,75,100,1.28,overcast clouds
217,Sept-Iles,CA,50.2001,-66.3821,6.01,66,8,14.97,clear sky
